ts,device_id,value
2025-09-03 23:30:02.160945+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-04 00:00:01.647708+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-04 00:30:01.967433+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-04 01:00:02.235152+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-04 01:30:01.862181+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-04 02:00:01.943976+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-04 02:30:01.983070+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-04 03:00:02.376908+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,29.0
2025-09-04 03:30:01.901624+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,29.3
2025-09-04 04:00:02.133678+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-04 04:30:02.215960+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-04 05:00:01.914516+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-04 05:30:01.983356+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 06:00:02.353049+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-04 06:30:01.728328+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-04 07:00:01.879140+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.5
2025-09-04 07:30:01.684369+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 08:00:01.722592+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 08:30:02.203801+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-04 09:00:01.864293+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-04 09:30:01.773023+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 10:00:02.026796+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 10:30:01.732592+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-04 11:00:02.211973+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-04 11:30:01.728466+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 12:00:02.426823+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-04 12:30:02.087365+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-04 13:00:02.046744+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-04 13:30:01.790815+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.2
2025-09-04 14:00:02.025093+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,25.6
2025-09-04 14:30:01.946152+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.1
2025-09-04 15:00:01.644666+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-04 15:30:01.829861+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-04 16:00:02.277103+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-04 16:30:01.822638+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-04 17:00:02.297611+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-04 17:30:02.124831+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-04 18:00:02.063745+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-04 18:30:02.081915+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-04 19:00:01.808075+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-04 19:30:02.176318+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-04 20:00:01.937577+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-04 20:30:02.046463+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-04 21:00:02.280240+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
